Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Name,Height,Weight,Year_Born
27,26,2013-12-27,23-097,NOP,,DEN,W (+16),1,30:45,5,8,.625,0,0,,1,2,.500,2,6,8,4,1,0,1,2,11,12.2,+7,Al-Farouq Aminu,6-8,220lb,1990
28,27,2013-12-28,23-098,NOP,@,HOU,L (-9),1,29:57,5,10,.500,2,3,.667,0,0,,0,1,1,2,2,1,1,2,12,9.6,-8,Al-Farouq Aminu,6-8,220lb,1990
29,28,2013-12-30,23-100,NOP,,POR,W (+2),1,39:31,4,8,.500,0,1,.000,1,1,1.000,2,13,15,0,2,1,0,3,9,11.8,-3,Al-Farouq Aminu,6-8,220lb,1990
30,29,2014-01-01,23-102,NOP,@,MIN,L (-12),1,13:40,2,6,.333,0,1,.000,0,0,,1,1,2,2,1,0,1,1,4,2.6,-8,Al-Farouq Aminu,6-8,220lb,1990
31,30,2014-01-03,23-104,NOP,@,BOS,W (+3),1,23:04,2,8,.250,0,1,.000,0,0,,0,7,7,1,0,0,0,1,4,1.6,-11,Al-Farouq Aminu,6-8,220lb,1990
32,31,2014-01-04,23-105,NOP,@,IND,L (-17),1,28:29,4,8,.500,0,1,.000,0,0,,0,4,4,3,1,1,3,4,8,4.4,-1,Al-Farouq Aminu,6-8,220lb,1990
33,32,2014-01-07,23-108,NOP,@,MIA,L (-19),1,31:12,3,5,.600,0,0,,0,2,.000,0,5,5,2,3,2,1,2,6,8.4,-10,Al-Farouq Aminu,6-8,220lb,1990
34,33,2014-01-08,23-109,NOP,,WAS,L (-6),1,29:28,2,5,.400,0,0,,0,0,,1,4,5,2,0,3,1,2,4,4.9,-7,Al-Farouq Aminu,6-8,220lb,1990
35,34,2014-01-10,23-111,NOP,,DAL,L (-17),1,24:59,1,8,.125,0,0,,2,2,1.000,2,3,5,2,1,2,3,1,4,1.5,-20,Al-Farouq Aminu,6-8,220lb,1990
36,35,2014-01-11,23-112,NOP,@,DAL,L (-3),1,35:42,6,9,.667,0,0,,3,3,1.000,1,10,11,2,0,0,4,3,15,11.0,-10,Al-Farouq Aminu,6-8,220lb,1990
37,36,2014-01-13,23-114,NOP,,SAS,L (-6),1,37:01,3,10,.300,0,0,,2,2,1.000,2,11,13,1,0,0,2,2,8,4.8,-1,Al-Farouq Aminu,6-8,220lb,1990
38,37,2014-01-15,23-116,NOP,,HOU,L (-3),1,21:08,1,5,.200,1,2,.500,4,4,1.000,1,7,8,2,1,1,3,2,7,6.0,+2,Al-Farouq Aminu,6-8,220lb,1990
39,38,2014-01-18,23-119,NOP,,GSW,L (-10),1,33:07,5,12,.417,0,0,,2,4,.500,4,5,9,1,0,1,0,1,12,10.1,-13,Al-Farouq Aminu,6-8,220lb,1990
40,39,2014-01-20,23-121,NOP,@,MEM,W (+3),1,25:09,1,5,.200,0,1,.000,1,2,.500,0,3,3,2,0,0,1,0,3,0.8,-11,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
41,40,2014-01-21,23-122,NOP,,SAC,L (-17),1,25:17,3,5,.600,1,1,1.000,2,3,.667,1,3,4,0,1,0,1,4,9,6.3,-31,Al-Farouq Aminu,6-8,220lb,1990
42,41,2014-01-24,23-125,NOP,@,DET,W (+2),1,26:00,5,8,.625,0,2,.000,0,0,,1,3,4,1,2,0,1,4,10,8.1,-4,Al-Farouq Aminu,6-8,220lb,1990
43,42,2014-01-26,23-127,NOP,,ORL,W (+8),1,29:33,2,4,.500,0,0,,3,4,.750,4,5,9,1,1,0,1,2,7,8.8,-5,Al-Farouq Aminu,6-8,220lb,1990
44,43,2014-01-28,23-129,NOP,@,CLE,W (+11),1,28:57,6,10,.600,0,0,,0,0,,1,2,3,1,0,0,1,0,12,8.4,+24,Al-Farouq Aminu,6-8,220lb,1990
45,44,2014-01-29,23-130,NOP,@,MIN,L (-11),1,36:29,8,13,.615,0,2,.000,2,2,1.000,4,8,12,1,1,1,2,3,18,16.5,-7,Al-Farouq Aminu,6-8,220lb,1990
46,45,2014-02-01,23-133,NOP,,CHI,W (+9),1,28:13,3,4,.750,1,1,1.000,0,0,,1,3,4,2,1,0,1,2,7,7.6,+4,Al-Farouq Aminu,6-8,220lb,1990
47,46,2014-02-03,23-135,NOP,,SAS,L (-7),1,34:24,3,7,.429,0,2,.000,0,0,,1,5,6,0,0,0,1,1,6,3.1,+2,Al-Farouq Aminu,6-8,220lb,1990
48,47,2014-02-05,23-137,NOP,,ATL,W (+5),1,33:42,3,11,.273,0,0,,0,0,,1,7,8,2,1,0,2,1,6,2.3,-9,Al-Farouq Aminu,6-8,220lb,1990
49,48,2014-02-07,23-139,NOP,,MIN,W (+7),1,23:14,1,5,.200,0,0,,0,0,,0,5,5,2,2,0,1,6,2,0.4,-10,Al-Farouq Aminu,6-8,220lb,1990
50,49,2014-02-09,23-141,NOP,@,BRK,L (-12),1,30:02,2,7,.286,0,0,,3,4,.750,1,5,6,4,2,0,0,2,7,8.7,-10,Al-Farouq Aminu,6-8,220lb,1990
51,50,2014-02-10,23-142,NOP,@,TOR,L (-7),1,19:15,1,3,.333,0,1,.000,1,2,.500,2,3,5,0,0,0,1,1,3,1.8,-24,Al-Farouq Aminu,6-8,220lb,1990
52,51,2014-02-12,23-144,NOP,@,MIL,W (+4),1,29:06,5,7,.714,0,0,,0,0,,2,5,7,2,3,1,1,2,10,13.3,+1,Al-Farouq Aminu,6-8,220lb,1990
53,52,2014-02-19,23-151,NOP,,NYK,L (-7),1,31:41,1,4,.250,0,0,,1,2,.500,1,6,7,3,2,0,1,3,3,4.6,-8,Al-Farouq Aminu,6-8,220lb,1990
54,53,2014-02-21,23-153,NOP,@,CHA,L (-3),1,29:24,4,6,.667,1,1,1.000,0,0,,1,3,4,1,1,0,0,5,9,7.7,+10,Al-Farouq Aminu,6-8,220lb,1990
55,54,2014-02-22,23-154,NOP,@,WAS,L (-1),1,20:24,2,5,.400,1,1,1.000,0,0,,0,0,0,1,1,0,1,1,5,2.6,-7,Al-Farouq Aminu,6-8,220lb,1990
56,55,2014-02-24,23-156,NOP,,LAC,L (-13),1,20:35,4,9,.444,1,2,.500,3,3,1.000,3,1,4,2,0,0,1,2,12,9.3,-7,Al-Farouq Aminu,6-8,220lb,1990
57,56,2014-02-26,23-158,NOP,@,DAL,L (-19),1,17:36,2,4,.500,0,1,.000,0,2,.000,0,2,2,2,0,0,2,2,4,0.4,-2,Al-Farouq Aminu,6-8,220lb,1990
58,57,2014-02-28,23-160,NOP,@,PHO,L (-12),0,12:32,2,4,.500,0,0,,3,4,.750,3,1,4,0,0,0,0,1,7,6.6,-9,Al-Farouq Aminu,6-8,220lb,1990
59,,2014-03-01,23-161,NOP,@,LAC,L (-32),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
60,58,2014-03-03,23-163,NOP,@,SAC,L (-7),0,11:02,0,0,,0,0,,2,2,1.000,0,2,2,0,1,0,1,3,2,1.4,+1,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
61,59,2014-03-04,23-164,NOP,@,LAL,W (+7),0,15:08,2,3,.667,0,1,.000,0,0,,1,1,2,1,2,0,0,2,4,5.6,+1,Al-Farouq Aminu,6-8,220lb,1990
62,60,2014-03-07,23-167,NOP,,MIL,W (+8),0,17:09,3,7,.429,1,3,.333,0,0,,1,4,5,2,1,1,2,2,7,5.5,+8,Al-Farouq Aminu,6-8,220lb,1990
63,61,2014-03-09,23-169,NOP,,DEN,W (+4),0,17:26,3,8,.375,0,1,.000,3,5,.600,3,5,8,0,0,2,1,1,9,7.4,+10,Al-Farouq Aminu,6-8,220lb,1990
64,62,2014-03-12,23-172,NOP,,MEM,L (-2),1,25:23,4,8,.500,0,0,,0,0,,1,7,8,0,3,0,3,3,8,5.6,+3,Al-Farouq Aminu,6-8,220lb,1990
65,63,2014-03-14,23-174,NOP,,POR,L (-8),1,32:21,4,4,1.000,0,0,,0,0,,1,7,8,2,1,1,0,3,8,11.5,-6,Al-Farouq Aminu,6-8,220lb,1990
66,64,2014-03-16,23-176,NOP,,BOS,W (+1),0,22:05,3,5,.600,0,0,,0,0,,0,2,2,0,0,0,1,2,6,2.5,-2,Al-Farouq Aminu,6-8,220lb,1990
67,65,2014-03-19,23-179,NOP,,TOR,L (-7),0,32:53,7,8,.875,1,1,1.000,4,6,.667,2,8,10,0,0,1,2,4,19,16.3,-4,Al-Farouq Aminu,6-8,220lb,1990
68,66,2014-03-21,23-181,NOP,@,ATL,W (+6),0,22:09,1,3,.333,0,1,.000,2,2,1.000,1,4,5,1,2,0,0,2,4,6.1,+11,Al-Farouq Aminu,6-8,220lb,1990
69,67,2014-03-22,23-182,NOP,,MIA,W (+10),1,45:03,5,8,.625,0,2,.000,2,2,1.000,1,7,8,2,1,0,1,3,12,11.4,+8,Al-Farouq Aminu,6-8,220lb,1990
70,68,2014-03-24,23-184,NOP,,BRK,W (+5),1,29:09,0,5,.000,0,0,,3,4,.750,1,4,5,3,1,0,1,2,3,2.3,-12,Al-Farouq Aminu,6-8,220lb,1990
71,69,2014-03-26,23-186,NOP,,LAC,W (+2),1,30:05,4,7,.571,0,0,,0,0,,3,7,10,6,1,2,1,0,8,14.5,-5,Al-Farouq Aminu,6-8,220lb,1990
72,70,2014-03-28,23-188,NOP,,UTA,W (+7),1,33:09,5,10,.500,0,0,,3,4,.750,3,5,8,1,0,0,1,2,13,10.1,+1,Al-Farouq Aminu,6-8,220lb,1990
73,71,2014-03-29,23-189,NOP,@,SAS,L (-16),1,33:46,3,5,.600,0,1,.000,2,3,.667,1,9,10,1,3,0,0,0,8,12.4,-11,Al-Farouq Aminu,6-8,220lb,1990
74,72,2014-03-31,23-191,NOP,,SAC,L (-5),1,19:09,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,3,0,0,2,4,6.5,-14,Al-Farouq Aminu,6-8,220lb,1990
75,73,2014-04-02,23-193,NOP,@,DEN,L (-30),1,21:05,0,3,.000,0,0,,5,10,.500,2,5,7,1,0,0,1,2,5,2.7,-7,Al-Farouq Aminu,6-8,220lb,1990
76,74,2014-04-04,23-195,NOP,@,UTA,L (-4),0,25:39,3,6,.500,0,0,,0,0,,1,4,5,0,0,1,0,1,6,5.2,-11,Al-Farouq Aminu,6-8,220lb,1990
77,75,2014-04-06,23-197,NOP,@,POR,L (-6),0,20:50,2,4,.500,0,0,,0,0,,2,7,9,3,0,0,1,2,4,5.8,-2,Al-Farouq Aminu,6-8,220lb,1990
78,76,2014-04-09,23-200,NOP,,PHO,L (-6),1,21:36,2,8,.250,1,1,1.000,0,0,,2,3,5,1,1,0,4,1,5,-0.2,-1,Al-Farouq Aminu,6-8,220lb,1990
79,77,2014-04-11,23-202,NOP,@,OKC,L (-22),0,14:49,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,2,1,2,-0.7,-21,Al-Farouq Aminu,6-8,220lb,1990
80,78,2014-04-12,23-203,NOP,@,HOU,L (-7),0,28:07,1,6,.167,0,1,.000,6,6,1.000,1,1,2,1,0,1,0,1,8,6.2,-12,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
81,79,2014-04-14,23-205,NOP,,OKC,W (+12),0,20:42,1,4,.250,0,1,.000,0,0,,5,3,8,1,0,0,2,2,2,1.9,-1,Al-Farouq Aminu,6-8,220lb,1990
82,80,2014-04-16,23-207,NOP,,HOU,W (+5),0,17:25,3,5,.600,0,0,,0,0,,2,4,6,0,0,0,0,0,6,6.3,+8,Al-Farouq Aminu,6-8,220lb,1990
1,1,2014-10-28,24-037,DAL,@,SAS,L (-1),0,5:29,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,1,1,0,-1.8,0,Al-Farouq Aminu,6-8,220lb,1990
2,2,2014-10-30,24-039,DAL,,UTA,W (+18),0,19:30,6,7,.857,1,1,1.000,3,4,.750,2,8,10,1,1,0,1,2,16,16.8,-1,Al-Farouq Aminu,6-8,220lb,1990
3,3,2014-11-01,24-041,DAL,@,NOP,W (+5),0,16:19,1,3,.333,0,1,.000,0,2,.000,1,4,5,0,0,0,0,1,2,1.0,+3,Al-Farouq Aminu,6-8,220lb,1990
4,4,2014-11-03,24-043,DAL,,BOS,W (+5),0,9:36,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,0,1,5,4.3,+11,Al-Farouq Aminu,6-8,220lb,1990
5,5,2014-11-06,24-046,DAL,@,POR,L (-21),0,16:25,3,6,.500,1,1,1.000,0,0,,2,3,5,0,2,1,0,1,7,8.6,-5,Al-Farouq Aminu,6-8,220lb,1990
6,6,2014-11-07,24-047,DAL,@,UTA,W (+23),0,18:34,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,0,5,2,1.4,+4,Al-Farouq Aminu,6-8,220lb,1990
7,7,2014-11-09,24-049,DAL,,MIA,L (-9),0,18:15,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,1,0,1,2,1.9,-18,Al-Farouq Aminu,6-8,220lb,1990
8,8,2014-11-11,24-051,DAL,,SAC,W (+8),0,12:42,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,1,3,0,-1.6,-1,Al-Farouq Aminu,6-8,220lb,1990
9,9,2014-11-13,24-053,DAL,,PHI,W (+53),0,15:18,1,6,.167,1,4,.250,0,0,,2,2,4,1,2,2,3,1,3,1.9,+26,Al-Farouq Aminu,6-8,220lb,1990
10,10,2014-11-15,24-055,DAL,,MIN,W (+14),0,22:52,5,7,.714,0,2,.000,0,0,,1,5,6,1,3,2,0,2,10,13.6,+5,Al-Farouq Aminu,6-8,220lb,1990
11,11,2014-11-17,24-057,DAL,@,CHO,W (+27),0,29:52,3,8,.375,1,2,.500,2,2,1.000,1,10,11,0,0,2,0,1,9,9.3,+17,Al-Farouq Aminu,6-8,220lb,1990
12,12,2014-11-19,24-059,DAL,@,WAS,W (+3),0,13:22,1,3,.333,1,2,.500,0,0,,1,3,4,0,0,1,0,1,3,3.2,-1,Al-Farouq Aminu,6-8,220lb,1990
13,13,2014-11-21,24-061,DAL,,LAL,W (+34),0,15:31,5,9,.556,1,3,.333,2,4,.500,1,5,6,1,0,0,1,2,13,9.0,+16,Al-Farouq Aminu,6-8,220lb,1990
14,14,2014-11-22,24-062,DAL,@,HOU,L (-3),0,18:57,1,5,.200,0,3,.000,0,0,,0,1,1,0,1,0,1,2,2,-1.6,-2,Al-Farouq Aminu,6-8,220lb,1990
15,15,2014-11-24,24-064,DAL,,IND,L (-11),0,13:52,1,1,1.000,0,0,,1,1,1.000,0,3,3,0,1,1,0,1,3,4.9,-2,Al-Farouq Aminu,6-8,220lb,1990
16,16,2014-11-26,24-066,DAL,,NYK,W (+7),0,15:02,3,4,.750,0,1,.000,0,0,,2,2,4,0,0,0,2,0,6,4.4,-8,Al-Farouq Aminu,6-8,220lb,1990
17,17,2014-11-28,24-068,DAL,@,TOR,W (+4),0,24:29,5,6,.833,2,3,.667,2,4,.500,0,2,2,2,0,1,0,3,14,12.5,+5,Al-Farouq Aminu,6-8,220lb,1990
18,18,2014-11-29,24-069,DAL,@,PHI,W (+7),1,21:16,2,7,.286,0,3,.000,2,2,1.000,0,3,3,1,1,0,0,1,6,4.1,+2,Al-Farouq Aminu,6-8,220lb,1990
19,19,2014-12-02,24-072,DAL,@,CHI,W (+3),0,6:33,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-5,Al-Farouq Aminu,6-8,220lb,1990
20,20,2014-12-03,24-073,DAL,@,MIL,W (+2),1,28:16,5,11,.455,2,5,.400,1,1,1.000,3,2,5,1,1,3,1,2,13,12.0,+6,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
21,21,2014-12-05,24-075,DAL,,PHO,L (-12),0,10:23,0,4,.000,0,3,.000,1,2,.500,0,3,3,1,1,0,0,0,1,0.4,-9,Al-Farouq Aminu,6-8,220lb,1990
22,22,2014-12-07,24-077,DAL,,MIL,W (+23),0,12:52,1,4,.250,0,1,.000,2,2,1.000,1,4,5,2,0,0,0,1,4,4.5,+5,Al-Farouq Aminu,6-8,220lb,1990
23,,2014-12-09,24-079,DAL,@,MEM,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
24,23,2014-12-10,24-080,DAL,,NOP,W (+5),0,15:01,0,0,,0,0,,3,4,.750,0,2,2,0,0,1,1,3,3,1.7,+8,Al-Farouq Aminu,6-8,220lb,1990
25,24,2014-12-13,24-083,DAL,,GSW,L (-7),0,7:37,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-4,Al-Farouq Aminu,6-8,220lb,1990
26,25,2014-12-16,24-086,DAL,@,NYK,W (+20),0,25:20,3,7,.429,1,3,.333,0,0,,2,2,4,0,2,1,3,3,7,3.8,+2,Al-Farouq Aminu,6-8,220lb,1990
27,26,2014-12-17,24-087,DAL,@,DET,W (+11),0,4:51,1,3,.333,0,0,,1,2,.500,0,0,0,1,0,0,0,1,3,1.2,-4,Al-Farouq Aminu,6-8,220lb,1990
28,27,2014-12-20,24-090,DAL,,SAS,W (+6),0,5:52,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,1,2,1.3,+3,Al-Farouq Aminu,6-8,220lb,1990
29,28,2014-12-22,24-092,DAL,,ATL,L (-3),0,5:30,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-3,Al-Farouq Aminu,6-8,220lb,1990
30,,2014-12-23,24-093,DAL,@,PHO,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
31,,2014-12-26,24-096,DAL,,LAL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
32,,2014-12-28,24-098,DAL,,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
33,29,2014-12-30,24-100,DAL,,WAS,W (+27),0,5:36,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,-1,Al-Farouq Aminu,6-8,220lb,1990
34,30,2015-01-02,24-103,DAL,@,BOS,W (+18),0,1:24,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1,Al-Farouq Aminu,6-8,220lb,1990
35,31,2015-01-04,24-105,DAL,@,CLE,W (+19),0,24:37,2,4,.500,0,0,,0,1,.000,2,4,6,1,1,0,1,4,4,3.3,+12,Al-Farouq Aminu,6-8,220lb,1990
36,,2015-01-05,24-106,DAL,@,BRK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
37,32,2015-01-07,24-108,DAL,,DET,L (-13),0,0:39,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1,Al-Farouq Aminu,6-8,220lb,1990
38,33,2015-01-10,24-111,DAL,@,LAC,L (-20),0,8:40,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,1,0,1.6,+5,Al-Farouq Aminu,6-8,220lb,1990
39,34,2015-01-13,24-114,DAL,@,SAC,W (+4),0,5:05,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+3,Al-Farouq Aminu,6-8,220lb,1990
40,35,2015-01-14,24-115,DAL,@,DEN,L (-7),0,19:40,4,7,.571,1,2,.500,1,1,1.000,2,3,5,2,2,1,0,3,10,11.9,+10,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
41,36,2015-01-16,24-117,DAL,,DEN,W (+8),0,17:49,1,6,.167,0,4,.000,6,6,1.000,3,2,5,2,0,1,1,3,8,6.8,-7,Al-Farouq Aminu,6-8,220lb,1990
42,37,2015-01-19,24-120,DAL,@,MEM,W (+8),0,3:41,1,2,.500,0,0,,1,1,1.000,1,0,1,0,0,0,0,0,3,2.7,+1,Al-Farouq Aminu,6-8,220lb,1990
43,38,2015-01-21,24-122,DAL,@,MIN,W (+23),0,15:26,2,6,.333,1,2,.500,0,0,,4,1,5,0,0,0,1,0,5,3.7,+9,Al-Farouq Aminu,6-8,220lb,1990
44,,2015-01-23,24-124,DAL,,CHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Al-Farouq Aminu,6-8,220lb,1990
45,39,2015-01-25,24-126,DAL,@,NOP,L (-3),0,15:12,0,1,.000,0,0,,2,2,1.000,0,3,3,1,0,2,0,2,2,3.5,+4,Al-Farouq Aminu,6-8,220lb,1990
46,40,2015-01-27,24-128,DAL,,MEM,L (-19),0,11:32,2,5,.400,0,3,.000,0,0,,0,3,3,1,2,1,0,1,4,5.2,+1,Al-Farouq Aminu,6-8,220lb,1990
47,41,2015-01-28,24-129,DAL,@,HOU,L (-5),0,28:57,2,7,.286,2,3,.667,4,4,1.000,1,6,7,0,3,6,2,2,10,12.8,-3,Al-Farouq Aminu,6-8,220lb,1990
48,42,2015-01-30,24-131,DAL,@,MIA,W (+21),0,29:02,3,5,.600,0,1,.000,4,6,.667,5,2,7,2,4,0,1,1,10,15.0,+23,Al-Farouq Aminu,6-8,220lb,1990
49,43,2015-01-31,24-132,DAL,@,ORL,W (+15),0,27:08,2,5,.400,0,1,.000,2,3,.667,2,6,8,1,2,0,0,2,6,8.0,+3,Al-Farouq Aminu,6-8,220lb,1990
50,44,2015-02-02,24-134,DAL,,MIN,W (+6),0,21:26,4,5,.800,1,2,.500,0,0,,2,3,5,2,2,2,3,3,9,10.0,+16,Al-Farouq Aminu,6-8,220lb,1990
51,45,2015-02-04,24-136,DAL,@,GSW,L (-14),0,24:41,5,9,.556,1,2,.500,1,1,1.000,4,3,7,2,2,1,0,4,12,13.9,-9,Al-Farouq Aminu,6-8,220lb,1990
52,46,2015-02-05,24-137,DAL,@,SAC,W (+23),1,22:06,1,6,.167,0,1,.000,0,0,,2,2,4,1,2,3,1,4,2,2.4,+10,Al-Farouq Aminu,6-8,220lb,1990
53,47,2015-02-07,24-139,DAL,,POR,W (+10),0,31:16,3,9,.333,1,4,.250,2,4,.500,3,6,9,1,1,2,2,4,9,6.5,+2,Al-Farouq Aminu,6-8,220lb,1990
54,48,2015-02-09,24-141,DAL,,LAC,L (-17),0,19:21,2,6,.333,1,3,.333,0,0,,4,2,6,1,1,1,0,3,5,6.2,-5,Al-Farouq Aminu,6-8,220lb,1990
55,49,2015-02-11,24-143,DAL,,UTA,W (+5),0,19:49,3,7,.429,0,1,.000,0,0,,2,5,7,0,0,0,1,3,6,3.0,+3,Al-Farouq Aminu,6-8,220lb,1990
56,50,2015-02-19,24-151,DAL,@,OKC,L (-15),0,16:54,2,7,.286,2,4,.500,2,2,1.000,3,2,5,1,2,0,1,3,8,7.1,+8,Al-Farouq Aminu,6-8,220lb,1990
57,51,2015-02-20,24-152,DAL,,HOU,W (+11),0,29:52,6,11,.545,1,4,.250,4,4,1.000,5,7,12,1,0,2,0,3,17,18.2,+12,Al-Farouq Aminu,6-8,220lb,1990
58,52,2015-02-22,24-154,DAL,,CHO,W (+11),0,24:13,0,3,.000,0,0,,0,0,,0,2,2,0,0,3,1,4,0,-2.0,-4,Al-Farouq Aminu,6-8,220lb,1990
59,53,2015-02-24,24-156,DAL,,TOR,W (+7),0,27:56,4,9,.444,0,0,,1,2,.500,4,8,12,0,1,2,4,2,9,6.7,+5,Al-Farouq Aminu,6-8,220lb,1990
60,54,2015-02-25,24-157,DAL,@,ATL,L (-17),0,27:07,1,7,.143,0,4,.000,0,0,,0,5,5,0,0,0,4,1,2,-5.4,0,Al-Farouq Aminu,6-8,220lb,1990
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Al-Farouq Aminu,6-8,220lb,1990
61,55,2015-02-28,24-160,DAL,,BRK,L (-10),0,23:59,4,4,1.000,2,2,1.000,2,2,1.000,0,5,5,2,4,2,0,3,12,17.9,-2,Al-Farouq Aminu,6-8,220lb,1990
62,56,2015-03-02,24-162,DAL,,NOP,W (+9),0,23:59,1,3,.333,0,2,.000,0,0,,1,1,2,1,4,0,0,2,2,5.2,-7,Al-Farouq Aminu,6-8,220lb,1990
63,57,2015-03-05,24-165,DAL,@,POR,L (-19),0,18:49,2,5,.400,1,2,.500,0,0,,0,3,3,0,0,0,1,2,5,1.4,-7,Al-Farouq Aminu,6-8,220lb,1990
64,58,2015-03-06,24-166,DAL,@,GSW,L (-15),0,18:40,3,7,.429,0,2,.000,1,2,.500,1,3,4,1,5,0,0,1,7,9.8,-5,Al-Farouq Aminu,6-8,220lb,1990
